"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR_SDD_1666_Appendix B_ HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/Efy3u6eQM_xGqnx48yX8y1EB9zYS2V2pUG4Ubt9GfaGL3Q","641967","pdf","12/16/2014 5:09:20 AM","DIR-SDD-1666",,"Appendix B, HUB Subcontracting Plan"
"DIR-TSO-2598 Appendix E Video and Web Conferencing Service Level Agreement","https://dir1.sharepoint.com/:b:/s/Contracts/EQvTZHsGdLVItY48Vz9oui8BGA7UUvH-LyqMSCpfbLYeXw","309032","pdf","12/16/2014 6:29:46 AM","DIR-TSO-2598",,"DIR-TSO-2598 Appendix E SLA"
"DIR-TEX-AN-NG-CTSA-008 Exhibit I - HUB Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EctT4O8q9wBAhnQjL467UlQBISFZRox5Qjdk48jHVnsneQ","1256274","pdf","1/21/2015 4:47:22 PM","DIR-TEX-AN-NG-CTSA-008",,"DIR-TEX-AN-NG-CTSA-008-exhibit-i"
"DIR-TSO-2695 Contract","https://dir1.sharepoint.com/:b:/s/Contracts/ER_fTAlyRLBAkOlZ7aT0h7wBPXCovDNbyVVyu9je_JOqpg","155901","pdf","2/12/2015 10:50:34 PM","DIR-TSO-2695",,"DIR-TSO-2695  Product Contract "
"DIR-TSO-2695 Appendix A Standard Terms and Conditions","https://dir1.sharepoint.com/:b:/s/Contracts/EaxR2mb36K5DuMd5-20d8bYBREyo0EfNJoVrN5Cm7UqeZg","446363","pdf","2/12/2015 10:51:49 PM","DIR-TSO-2695",,"DIR-TSO-2695 Appendix A Standard Terms and Conditions - Products"
"DIR-TSO-2695 Appendix B HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EY8N2BGcEDtDtR1C0Gt1lq0BvvUW7ithnVJTxFsBOuImnw","707170","pdf","2/12/2015 10:54:43 PM","DIR-TSO-2695",,"DIR-TSO-2695 Appendix B HUB Subcontracting Plan"
"DIR-TSO-2695 Appendix C Pricing Index","https://dir1.sharepoint.com/:b:/s/Contracts/EVH4Et4PW7RHhHsfe01xwd8BQEF7Z4IKsYdrkzAGEaRnfg","183247","pdf","2/12/2015 10:56:26 PM","DIR-TSO-2695",,"DIR-TSO-2695 Appendix C Pricing Index"
"DIR_SDD_IC619 Interlocal Cooperation Contract","https://dir1.sharepoint.com/:b:/s/Contracts/ETOsOdE07_tBlWq_2iBRrIQBbJmbnHZEpzAlgi6mC7ytuw","144897","pdf","2/13/2015 6:56:24 PM","DIR-SDD-IC619",,"Interlocal"
"DIR_SDD_IC674 Interlocal Cooperative Contract 674","https://dir1.sharepoint.com/:b:/s/Contracts/EY8FLJdQ_OFEnU8Dp1ucRaEBRTG6eUMHgaQ4_C4hLKzZuA","148021","pdf","2/13/2015 7:02:08 PM","DIR-SDD-IC674",,"Interlocal"
"Contract DIR-TSO-2986","https://dir1.sharepoint.com/:b:/s/Contracts/EUYtSQ00vztKrYCio91k-DgBBp6DPZK3eMmOnXYt2Kmdfg","166057","pdf","2/13/2015 9:50:41 PM","DIR-TSO-2986",,"Contract"
"DIR-TSO-2705 Contract","https://dir1.sharepoint.com/:b:/s/Contracts/EXljkDDhb-dLjrIEBwYCKsUBKaUd2Ar4J7iBCIhmAOQP6Q","191231","pdf","2/18/2015 3:42:00 PM","DIR-TSO-2705",,"Contract DIR-TSO-2705"
"DIR-TSO-2986-Appendix A-Standard Terms and Conditions","https://dir1.sharepoint.com/:b:/s/Contracts/EcyvMlzjSCtJp8xG0ZNO6r0Bzg8u_9tCqOyxXnsEO3GnFw","429362","pdf","2/18/2015 4:26:22 PM","DIR-TSO-2986",,"Appendix A Standard Terms and Conditions"
"DIR-TSO-2986-Appendix B HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EaivIl1nRbNPsH2Dso_VUqMBvHQKgCX8zRrGcn2QWHb-ig","609703","pdf","2/18/2015 4:28:00 PM","DIR-TSO-2986",,"HUB Plan"
