"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR_SDD_1666_Appendix B_ HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EUY3jdL9CBpBm7qQoDItgwoBFzcH0ffTWv3rjueZpPh-bQ","641967","pdf","9/28/2021 1:56:46 PM","DIR-SDD-1666","0","Appendix B, HUB Subcontracting Plan"
"DIR_SDD_1674_Amendment 4","https://dir1.sharepoint.com/:b:/s/Contracts/EUwHAVIj34tMpe29soKKCtgBJzpI2VGVqADEPFb_iZk0_Q","91642","pdf","9/28/2021 1:59:54 PM","DIR-SDD-1674","20","Amendment 4"
"DIR_SDD_1682_Appendix B_ HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EaK0ikZzt8lMnAG2R8kYuQMBrgOdisusdr05Tu1K2d5YKQ","1480043","pdf","9/28/2021 2:02:31 PM","DIR-SDD-1682","0.2","Appendix B, HUB Subcontracting Plan"
"DIR_SDD_1682_Appendix A_ Standard Terms and Conditions","https://dir1.sharepoint.com/:b:/s/Contracts/Eb7-As9GKSxBvaeuYDLeIwQBldq5AvPfLa6dzmnXveyR-A","744494","pdf","9/28/2021 2:02:43 PM","DIR-SDD-1682","0.1","Appendix A, Standard Terms and Conditions"
"DIR_SDD_1682_Appendix C_ Pricing Index","https://dir1.sharepoint.com/:b:/s/Contracts/Ebe11kaLEwVBic2y_-QusqUBKUSQ6FCZKhqqef5FEjNcJg","93589","pdf","9/28/2021 2:02:53 PM","DIR-SDD-1682","0.3","Appendix C, Pricing Index"
"DIR_SDD_1688_Appendix C_ Pricing Index","https://dir1.sharepoint.com/:b:/s/Contracts/EZLuWHw6SVlLof20dbk-QpEBW3YaIqzxNz9dbJrw-9-_lw","87188","pdf","9/28/2021 2:07:08 PM","DIR-SDD-1688","0.8","Appendix C, Pricing Index"
"DIR-SDD-1692 Contracts","https://dir1.sharepoint.com/:b:/s/Contracts/EUm8HdCUL9BKkYEOA5LR8usBmsX_CWXFNY0CvMjfjO_vtA","191949","pdf","9/28/2021 2:07:32 PM","DIR-SDD-1692","0","Contract DIR-SDD-1692"
"DIR-SDD-1692 Appendix A Standard Terms and Conditions","https://dir1.sharepoint.com/:b:/s/Contracts/EbtmrLjom9VOgvHP19lZk38BWeqtb8qYGqSdi5x4536cZA","520397","pdf","9/28/2021 2:07:38 PM","DIR-SDD-1692","0.01","Appendix A, Standard Terms and Conditions"
"DIR-SDD-1692 Appendix B HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EfifMQb3hoZOge0HjlFBA94BerBIrTQ4uKBSxSDrguBimw","379090","pdf","9/28/2021 2:07:44 PM","DIR-SDD-1692","0.02","Appendix B, HUB Subcontracting Plan"
"DIR-SDD-1692 Appendix C Pricing Index","https://dir1.sharepoint.com/:b:/s/Contracts/EWVZ9rqbLNVBg0ZfrvqpEKkBPccL2YFzu-rR0KgR4mXSKA","186550","pdf","9/28/2021 2:07:51 PM","DIR-SDD-1692","0.03","Appendix C, Pricing Index"
"DIR-SDD-1692 Amendment 1","https://dir1.sharepoint.com/:b:/s/Contracts/EexTu72FnaFOqvCXgPUg-38B1VH24dZZd3vz4hZorm7CGg","155772","pdf","9/28/2021 2:07:57 PM","DIR-SDD-1692","1","Amendment 1"
"DIR-SDD-1692 Amendment 2","https://dir1.sharepoint.com/:b:/s/Contracts/EZaxBB6eW9dBsM3EDpVP7HcBV_DB9NFXuML72S3EMGTS7g","136384","pdf","9/28/2021 2:08:02 PM","DIR-SDD-1692","2","Amendment 2"
"DIR-SDD-1692 Amendment 3","https://dir1.sharepoint.com/:b:/s/Contracts/EbR8DE5pKJ9IjI5sYg-hqPQBT8yONYw5qoTcZE3S0HzR7A","160627","pdf","9/28/2021 2:08:08 PM","DIR-SDD-1692","3","Amendment 3"
"DIR-SDD-1697 Contract","https://dir1.sharepoint.com/:b:/s/Contracts/EfdHfVBLf8NCs8MIE9sbyQ4Bh6SO1cJw1MDnGfP7ygJUgQ","193561","pdf","9/28/2021 2:08:54 PM","DIR-SDD-1697","0","Contract DIR-SDD-1697"
"DIR-SDD-1697 Appendix A Standard Terms and Conditions","https://dir1.sharepoint.com/:b:/s/Contracts/EVyTptT0zKtJoAQG-Spsr7YBXxJkFBDmKMzdnQqPnq1FGw","492060","pdf","9/28/2021 2:08:55 PM","DIR-SDD-1697","0.01","Appendix A, Standard Terms and Conditions"
"DIR-SDD-1697 Appendix C Pricing Index","https://dir1.sharepoint.com/:b:/s/Contracts/ETucCejjX3xNp-1WPhzccI4BOj3ZcpXxzVxLQvz-P5yB0A","91106","pdf","9/28/2021 2:09:01 PM","DIR-SDD-1697","0.03","Appendix C, Pricing Index"
"DIR-SDD-1697 Appendix B HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EdnczknFMPFBsAP83Aa9G5EB_DMRlhtM8K244iJcCrn9DQ","347682","pdf","9/28/2021 2:09:09 PM","DIR-SDD-1697","0.02","Appendix B, HUB Subcontracting Plan"
"DIR-SDD-1697 Amendment 1","https://dir1.sharepoint.com/:b:/s/Contracts/EcRqcW5xnM1GnjMJ2_FPdbUBqZ8zRKfeb7S3UxF4VDP7qw","87126","pdf","9/28/2021 2:09:16 PM","DIR-SDD-1697","1","Amendment 1"
"DIR-SDD-1697 Amendment 2","https://dir1.sharepoint.com/:b:/s/Contracts/EdMjOLGVoVRDrKHfpnzATwABuAla0b0CzNUP5ARgXHl4IA","176186","pdf","9/28/2021 2:09:21 PM","DIR-SDD-1697","2","Amendment 2"
"DIR-SDD-1697 Amendment 3","https://dir1.sharepoint.com/:b:/s/Contracts/EVGLI995F5pKmpdYCeMa3OQBYYNqwVK8q1RnOlfcidRJ4Q","13726","pdf","9/28/2021 2:09:27 PM","DIR-SDD-1697","3","Amendment 3"
"DIR-SDD-1697 Amendment 4","https://dir1.sharepoint.com/:b:/s/Contracts/EVgS9KzcH_pFoxneWUCkAnMBbqBiquXSPBBNziUo0z1DHg","96221","pdf","9/28/2021 2:09:32 PM","DIR-SDD-1697","4","Amendment 4"
"DIR-SDD-1711 Contract","https://dir1.sharepoint.com/:b:/s/Contracts/EZBUtlmkGB9NuoYriJgz7lYBEE2kznnmZ0LeIyc37mrpjw","193631","pdf","9/28/2021 2:10:12 PM","DIR-SDD-1711","0","Contract DIR-SDD-1711"
"DIR-SDD-1711 Appendix B HUB Subcontracting Plan","https://dir1.sharepoint.com/:b:/s/Contracts/ETreaiwB8K1HiB9fcN87XR0BigCLNPBnXgyirOJju-8GQQ","299736","pdf","9/28/2021 2:10:17 PM","DIR-SDD-1711","0.02","Appendix B, HUB Subcontracting Plan"
