"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR_SDD_IC352","https://dir1.sharepoint.com/:b:/s/Contracts/EVroLl8Y4DZLlNmfNxazO1MB1bhGAj7VwGNsmH4jRkP-6w","170323","pdf","12/16/2014 6:22:25 AM","DIR-SDD-IC352","50","DIR-SDD-IC352"
"DIR_SDD_IC516","https://dir1.sharepoint.com/:b:/s/Contracts/ETg452yBJB9NhkRtjk79_KwBeg87xhtj1hE5_QlUX6u_Ow","165689","pdf","12/16/2014 6:22:26 AM","DIR-SDD-IC516","50","DIR-SDD-IC516"
"DIR_SDD_IC525","https://dir1.sharepoint.com/:b:/s/Contracts/EYTnPCCQPp1JkXU_CngICDsB3rJSfCDvOK98kYbxj5SwXw","74387","pdf","12/16/2014 6:22:27 AM","DIR-SDD-IC525","50","DIR-SDD-IC525"
"DIR_SDD_IC545 Interlocal Cooperative Contract 545","https://dir1.sharepoint.com/:b:/s/Contracts/Efyv_FMeChxNsx2Ohj6tVOcBB5VS8lOAg-7iZqBXpfOxVw","75409","pdf","12/16/2014 6:22:29 AM","DIR-SDD-IC545","50","DIR-SDD-IC545 Interlocal Cooperative Contract 545"
"DIR_SDD_IC548 Public Utility District No_ 1 of Okanogan County_ Washin","https://dir1.sharepoint.com/:b:/s/Contracts/EUAlKRm3yqVBjlhSyq6el4MBV6SE2t9JsHMsZgWU7SRICw","70460","pdf","12/16/2014 6:22:30 AM","DIR-SDD-IC548","50","DIR-SDD-IC548 Public Utility District No. 1 of Okanogan County, Washington"
"DIR_SDD_IC558 Wisconsin Department of Workforce Development_ Wisconsin","https://dir1.sharepoint.com/:b:/s/Contracts/ES-SsxQsH3ZJk1l4yszfVrQBjir9r8RJ7mM1MaT95WLfxw","74708","pdf","12/16/2014 6:22:31 AM","DIR-SDD-IC558","50","DIR-SDD-IC558 Wisconsin Department of Workforce Development, Wisconsin"
"DIR_SDD_IC559 Carl Albert State College_ Oklahoma","https://dir1.sharepoint.com/:b:/s/Contracts/EUvo8M-AeQxHto-BZPeYuHAB5inymeQNpCShweyohCDgiw","70215","pdf","12/16/2014 6:22:33 AM","DIR-SDD-IC559","50","DIR-SDD-IC559 Carl Albert State College, Oklahoma"
"DIR_SDD_IC562 Middle Tennessee State University_ Tennessee","https://dir1.sharepoint.com/:b:/s/Contracts/EZKMyrSvERpLunsLThvDu7gBb3Pj4p3LVPEgEMMVCZ2c9Q","70762","pdf","12/16/2014 6:22:34 AM","DIR-SDD-IC562","50","DIR-SDD-IC562 Middle Tennessee State University, Tennessee"
"DIR_SDD_IC563 Hillsborough County_ Florida","https://dir1.sharepoint.com/:b:/s/Contracts/EdZX9ttNVppOl8H6_A03Z94BLQRK8oE1HZhCIktqL12MKg","70379","pdf","12/16/2014 6:22:35 AM","DIR-SDD-IC563","50","DIR-SDD-IC563 Hillsborough County, Florida"
"DIR_SDD_IC565 Carson City School District_ Nevada","https://dir1.sharepoint.com/:b:/s/Contracts/ES6rV8JLd-9PvsqBRII8cIcBIEfVYyvDsKZtdGtlmxz8rQ","70343","pdf","12/16/2014 6:22:36 AM","DIR-SDD-IC565","50","DIR-SDD-IC565 Carson City School District, Nevada"
"DIR_SDD_IC566 City of Yakima_ Washington","https://dir1.sharepoint.com/:b:/s/Contracts/ETqljmmtegRNn_DyQGtN1pkBrx__64rcB0-0UtP2cxSbBg","21414","pdf","12/16/2014 6:22:37 AM","DIR-SDD-IC566","50","DIR-SDD-IC566 City of Yakima, Washington"
"DIR_SDD_IC572 Interlocal Cooperation Contract","https://dir1.sharepoint.com/:b:/s/Contracts/ETLcffBDDPxOvT7n8SNhw3gBrhyzJhtWywDKdWyTbsY-Yg","138253","pdf","12/16/2014 6:22:38 AM","DIR-SDD-IC572","50","DIR-SDD-IC572 Interlocal Cooperation Contract"
"DIR_SDD_IC573 City of Casa Grande_ Arizona","https://dir1.sharepoint.com/:b:/s/Contracts/Ebnn2SlmelFEs3RxIRnK0O8B1tAoK998KgxiBrDVRurIEQ","90901","pdf","12/16/2014 6:22:40 AM","DIR-SDD-IC573","50","DIR-SDD-IC573 City of Casa Grande, Arizona"
"DIR_SDD_IC575 The School Board of Alachua County_ Florida","https://dir1.sharepoint.com/:b:/s/Contracts/ESYaMpbUmz1GtNZUYNG9AkQBUqa-S5y8PoGVPZc_4Z79XA","137864","pdf","12/16/2014 6:22:41 AM","DIR-SDD-IC575","50","DIR-SDD-IC575 The School Board of Alachua County, Florida"
"DIR_SDD_IC576","https://dir1.sharepoint.com/:b:/s/Contracts/EWN9ZYq1tBBHtpYbY9-75OIBzbC4Seuy4M4mT69eWrN1SA","138735","pdf","12/16/2014 6:22:42 AM","DIR-SDD-IC576","50","DIR-SDD-IC576"
