"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR-TSO-2598 Appendix E Video and Web Conferencing Service Level Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2598 Appendix E Video and Web Conferencing Service Level Agreement.pdf","309032","pdf","12/16/2014 12:29:46 AM","DIR-TSO-2598","0.05","DIR-TSO-2598 Appendix E SLA"
"DIR-TEX-AN-NG-CTSA-008 Exhibit I - HUB Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TEX-AN-NG-CTSA-008 Exhibit I - HUB Plan.pdf","1256274","pdf","1/21/2015 10:47:22 AM","DIR-TEX-AN-NG-CTSA-008","19","DIR-TEX-AN-NG-CTSA-008-exhibit-i"
"DIR-TEX-AN-NG-CTSA-010-amendment-1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TEX-AN-NG-CTSA-010-amendment-1.pdf","87541","pdf","1/22/2015 8:45:49 AM","DIR-TEX-AN-NG-CTSA-010","21","DIR-TEX-AN-NG-CTSA-010-amendment-1"
"DIR-TSO-2695 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2695 Contract.pdf","155901","pdf","2/12/2015 4:50:34 PM","DIR-TSO-2695","0","DIR-TSO-2695  Product Contract "
"DIR-TSO-2695 Appendix A Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2695 Appendix A Standard Terms and Conditions.pdf","446363","pdf","2/12/2015 4:51:49 PM","DIR-TSO-2695","0.01","DIR-TSO-2695 Appendix A Standard Terms and Conditions - Products"
"DIR-TSO-2695 Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2695 Appendix B HUB Subcontracting Plan.pdf","707170","pdf","2/12/2015 4:54:43 PM","DIR-TSO-2695","0.02","DIR-TSO-2695 Appendix B HUB Subcontracting Plan"
"DIR-TSO-2695 Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2695 Appendix C Pricing Index.pdf","183247","pdf","2/12/2015 4:56:26 PM","DIR-TSO-2695","0.03","DIR-TSO-2695 Appendix C Pricing Index"
"DIR_SDD_IC619 Interlocal Cooperation Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR_SDD_IC619 Interlocal Cooperation Contract.pdf","144897","pdf","2/13/2015 12:56:24 PM","DIR-SDD-IC619","50","Interlocal"
"DIR_SDD_IC674 Interlocal Cooperative Contract 674","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR_SDD_IC674 Interlocal Cooperative Contract 674.pdf","148021","pdf","2/13/2015 1:02:08 PM","DIR-SDD-IC674","50","Interlocal"
"Contract DIR-TSO-2986","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/Contract DIR-TSO-2986.pdf","166057","pdf","2/13/2015 3:50:41 PM","DIR-TSO-2986","1","Contract"
"DIR-TSO-2705 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2705 Contract.pdf","191231","pdf","2/18/2015 9:42:00 AM","DIR-TSO-2705","0","Contract DIR-TSO-2705"
"DIR-TSO-2986-Appendix A-Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix A-Standard Terms and Conditions.pdf","429362","pdf","2/18/2015 10:26:22 AM","DIR-TSO-2986","2","Appendix A Standard Terms and Conditions"
"DIR-TSO-2986-Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix B HUB Subcontracting Plan.pdf","609703","pdf","2/18/2015 10:28:00 AM","DIR-TSO-2986","3","HUB Plan"
"DIR-TSO-2986-Appendix C-Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix C-Pricing Index.pdf","200734","pdf","2/18/2015 10:28:59 AM","DIR-TSO-2986","4","Appendix C Pricing Index"
"DIR-TSO-2986-Appendix D-Sample Statement of Work for Cloud Services","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix D-Sample Statement of Work for Cloud Services.pdf","355451","pdf","2/18/2015 10:29:55 AM","DIR-TSO-2986","5","Appendix D Sample SOW for Cloud Services"
"DIR-TSO-2986-Appendix E-LiveOps Voice and Multi-Channel SOW","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix E-LiveOps Voice and Multi-Channel SOW.pdf","737986","pdf","2/18/2015 10:30:57 AM","DIR-TSO-2986","6","Appendix E-LiveOps Voice and Multi-Channel SOW"
"DIR-DCS-MSI-MSA-001-Appendix 1-Exhibit 1-Definitions to Amend 9","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-MSI-MSA-001-Appendix 1-Exhibit 1-Definitions to Amend 9.pdf","450550","pdf","2/23/2015 8:44:53 PM","DIR-DCS-MSI-MSA-001","159","Appendix 1 - Exhibit 1 Definitions - Amendment 9"
"DIR-DCS-MSI-MSA-001-Appendix 2-Exhibit 2.1-Multi-sourcing Service Integrator SOW to Amend 9","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-MSI-MSA-001-Appendix 2-Exhibit 2.1-Multi-sourcing Service Integrator SOW to Amend 9.pdf","1093603","pdf","2/23/2015 8:48:36 PM","DIR-DCS-MSI-MSA-001","160","DIR-DCS-MSI-MSA-001-Appendix 2-Exhibit 2.1-Multi-sourcing Service Integrator SOW-Amend 9"
"DIR-DCS-MSI-MSA-001-Appendix 3-Attachment 3-C-Critical Deliverables to Amend 9","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-MSI-MSA-001-Appendix 3-Attachment 3-C-Critical Deliverables to Amend 9.pdf","428942","pdf","2/23/2015 8:50:43 PM","DIR-DCS-MSI-MSA-001","161","DIR-DCS-MSI-MSA-001-Appendix 3-Attachment 3-C-Critical Deliverables-Amend 9"
"DIR-DCS-MSI-MSA-001-Appendix 4-Exhibit 4-Pricing and Financial Provisions to Amend 9","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-MSI-MSA-001-Appendix 4-Exhibit 4-Pricing and Financial Provisions to Amend 9.pdf","604825","pdf","2/23/2015 8:53:00 PM","DIR-DCS-MSI-MSA-001","162","DIR-DCS-MSI-MSA-001-Appendix 4-Exhibit 4-Pricing and Financial Provisions-Amend 9"
"DIR-TSO-2610-Amendment-1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2610-Amendment-1.pdf","75469","pdf","2/25/2015 11:21:54 AM","DIR-TSO-2610","55","DIR-TSO-2610-1 Amendment 1"
"DIR-TSO-2610-Appendix-C-Price-Index-Amendment-1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2610-Appendix-C-Price-Index-Amendment-1.pdf","258108","pdf","2/25/2015 11:26:22 AM","DIR-TSO-2610","53","DIR-TSO-2610 Appendix C Price Index Amendment 1 Update"
"DIR-TSO-2610-Appendix-D-Service-Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2610-Appendix-D-Service-Agreement.pdf","99721","pdf","2/25/2015 11:27:51 AM","DIR-TSO-2610","54","DIR-TSO-2610 Appendix Service Agreement Sample"
"DIR-DCS-SCP-MSA-002-Exhibit 13-Reports updated in Amend 2","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-SCP-MSA-002-Exhibit 13-Reports updated in Amend 2.pdf","140908","pdf","2/25/2015 12:52:40 PM","DIR-DCS-SCP-MSA-002","109","Exhibit 13-Reports updated in Amend 2"
"DIR-TSO-IC673-County of Johnson1 KS Interlocal_Cooperation_Contract_10.17.14","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-IC673-County of Johnson1 KS Interlocal_Cooperation_Contract_10.17.14.pdf","141022","pdf","2/26/2015 12:24:17 PM","DIR-TSO-IC673","1","Interlocal contract with County of Johnson, KS DIR-TSO-IC673"
"DIR-TSO-2735-Appendix D Sample Statement of Work","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2735-Appendix D Sample Statement of Work.pdf","294829","pdf","2/26/2015 2:10:56 PM","DIR-TSO-2735","5","DIR-TSO-2735-Appendix D Sample Statement of Work"
"DIR-TSO-2735-Appendix E Sample Statement of Work for Cloud Assessment","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2735-Appendix E Sample Statement of Work for Cloud Assessment.pdf","219522","pdf","2/26/2015 2:12:29 PM","DIR-TSO-2735","6","DIR-TSO-2735-Appendix E Sample Statement of Work for Cloud Assessment"
"DIR-TSO-IC672-Interlocal_Cooperation_Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-IC672-Interlocal_Cooperation_Contract.pdf","218462","pdf","2/26/2015 2:14:10 PM","DIR-TSO-IC672","1","DIR-TSO-IC672 - Interlocal Cooperatiion Contract with Ell-Saline USD 307, Kansas"
"DIR-TSO-2735-Appendix F-1 Cloud Assessment","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2735-Appendix F-1 Cloud Assessment.pdf","219677","pdf","2/26/2015 2:18:11 PM","DIR-TSO-2735","7","DIR-TSO-2735-Appendix F-1 Cloud Assessment"
"DIR-TSO-2735-Appendix F-2 Cloud Services - Service Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2735-Appendix F-2 Cloud Services - Service Agreement.pdf","301227","pdf","2/26/2015 2:20:04 PM","DIR-TSO-2735","8","DIR-TSO-2735-Appendix F-2 Cloud Services - Service Agreement"
"DIR-TSO-2735-Attachment 1 to Appendix F-2 Sample Disclosure Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2735-Attachment 1 to Appendix F-2 Sample Disclosure Agreement.pdf","89507","pdf","2/26/2015 2:39:52 PM","DIR-TSO-2735","10","DIR-TSO-2735-Attachment 1 to Appendix F-2 Sample Disclosure Agreement"
"DIR-TSO-2712 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2712 Contract.pdf","187569","pdf","2/27/2015 10:12:27 AM","DIR-TSO-2712","0","DIR-TSO-2712 Westron Communications"
"DIR-TSO-2712 Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2712 Appendix B HUB Subcontracting Plan.pdf","812124","pdf","2/27/2015 10:20:45 AM","DIR-TSO-2712","0.02","DIR-TSO-2712-Appendix B HUB Plan"
"DIR-TSO-2705-Appendix B HUB Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2705-Appendix B HUB Plan.pdf","998299","pdf","2/27/2015 11:12:11 AM","DIR-TSO-2705","0.02","DIR-TSO-2705-Appendix B HUB Plan"
"DIR-TSO-2705-Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2705-Appendix C Pricing Index.pdf","11565","pdf","2/27/2015 11:13:03 AM","DIR-TSO-2705","0.03","DIR-TSO-2705-Appendix C Pricing Index"
"DIR-TSO-2697  Product Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2697  Product Contract.pdf","156242","pdf","2/27/2015 3:46:36 PM","DIR-TSO-2697","1","DIR-TSO-2697  Product Contract"
"DIR-TSO-2697 Appendix A Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2697 Appendix A Standard Terms and Conditions.pdf","446436","pdf","2/27/2015 3:48:19 PM","DIR-TSO-2697","2","DIR-TSO-2697 Appendix A Standard Terms and Conditions"
"DIR-TSO-2697 HUB  Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2697 HUB  Subcontracting Plan.pdf","476097","pdf","2/27/2015 5:37:14 PM","DIR-TSO-2697","3","DIR-TSO-2697 HUB  Subcontracting Plan"
"DIR-TSO-2697 Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2697 Appendix C Pricing Index.pdf","180492","pdf","2/27/2015 5:41:09 PM","DIR-TSO-2697","4","DIR-TSO-2697 Appendix C Pricing Index"
"DIR-TSO-2574 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2574 Contract.pdf","166428","pdf","3/2/2015 8:26:37 AM","DIR-TSO-2574","0","DIR-TSO-2574 Contract Precision Task Group"
"DIR-TSO-2574 Appendix B HUB Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2574 Appendix B HUB Plan.pdf","962644","pdf","3/2/2015 8:30:14 AM","DIR-TSO-2574","0.02","DIR-TSO-2574-Appendix B HUB Plan"
"DIR-TSO-2574 Appendix D Infor Software License Agreement final","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2574 Appendix D Infor Software License Agreement final.pdf","287843","pdf","3/2/2015 8:41:15 AM","DIR-TSO-2574","0.04","DIR-TSO-2574-Appendix D Infor Software License Agreement final"
"DIR-TSO-2574 Appendix E Software Support Agreement final","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2574 Appendix E Software Support Agreement final.pdf","162304","pdf","3/2/2015 8:42:12 AM","DIR-TSO-2574","0.05","DIR-TSO-2574-Appendix E Software Support Agreement final"
"DIR-TSO-2674 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2674 Contract.pdf","187733","pdf","3/2/2015 8:56:56 AM","DIR-TSO-2674","0","DIR-TSO-2674 Innovation Network Technologies Corp Contract"
"DIR-TSO-2674-Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2674-Appendix B HUB Subcontracting Plan.pdf","963140","pdf","3/2/2015 8:59:54 AM","DIR-TSO-2674","0.02","DIR-TSO-2674-Appendix B HUB Plan"
"DIR-TSO-2674-Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2674-Appendix C Pricing Index.pdf","10565","pdf","3/2/2015 9:00:51 AM","DIR-TSO-2674","0.03","DIR-TSO-2674-Appendix C Pricing Index"
"DIR-TSO-2986-Appendix F Subscription Services Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix F Subscription Services Agreement.pdf","119805","pdf","3/2/2015 5:24:55 PM","DIR-TSO-2986","7","Appendix F Subscription Services Agreement"
"DIR-TSO-2986-Appendix F Exhibit A Texas DIR MSSA Order Form","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix F Exhibit A Texas DIR MSSA Order Form.pdf","133104","pdf","3/2/2015 5:25:43 PM","DIR-TSO-2986","8","Exhibit A to Appendix F"
"DIR-TSO-2986-Appendix G Availability and Support Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2986-Appendix G Availability and Support Agreement.pdf","88304","pdf","3/2/2015 5:26:26 PM","DIR-TSO-2986","9","Appendix G Availability and Support Agreement"
"DIR-TSO-2539 Appendix E-1 Sample Ordering Doc HW SW (per Amendment 1)","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix E-1 Sample Ordering Doc HW SW (per Amendment 1).pdf","253524","pdf","3/5/2015 2:01:27 PM","DIR-TSO-2539","0.051","DIR-TSO-2539 Appendix E-1 Sample Ordering Doc HW SW Amendment 1"
"DIR-TSO-2539 Appendix E7 Sample Order Form Managed Cloud Services Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix E7 Sample Order Form Managed Cloud Services Amendment 1.pdf","296925","pdf","3/5/2015 2:12:12 PM","DIR-TSO-2539","0.057","DIR-TSO-2539-Appendix E-7 Sample Order Form Managed Cloud Services Amendment 1"
