"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR-TEX-AN-NG-CTSA-008 Exhibit I - HUB Plan","https://dir1.sharepoint.com/:b:/s/Contracts/EctT4O8q9wBAhnQjL467UlQBISFZRox5Qjdk48jHVnsneQ","1256274","pdf","1/21/2015 4:47:22 PM","DIR-TEX-AN-NG-CTSA-008","19","DIR-TEX-AN-NG-CTSA-008-exhibit-i"
"DIR-TEX-AN-NG-CTSA-010-amendment-1","https://dir1.sharepoint.com/:b:/s/Contracts/EQ_TgycKLZBKq8_o3r-SpLIBhQ41gzQnmH70Bo4bkSeNYw","87541","pdf","1/22/2015 2:45:49 PM","DIR-TEX-AN-NG-CTSA-010","21","DIR-TEX-AN-NG-CTSA-010-amendment-1"
"DIR-TEX-AN-NG-CTSA-010 Contract","https://dir1.sharepoint.com/:b:/s/Contracts/EY0Mu-clbc9Klz7wY7HSYxYB3A_TKZndtGKK8j7YzPwRIA","947267","pdf","6/3/2015 9:28:25 PM","DIR-TEX-AN-NG-CTSA-010","1","verizon tex-an ng contract"
"DIR-TEX-AN-NG-CTSA-005 Amendment 3","https://dir1.sharepoint.com/:b:/s/Contracts/EZa5412aAvpJk-OKEXfbgFsBYDUZjZ9nK012E80dVPj09Q","84950","pdf","6/4/2015 1:58:48 PM","DIR-TEX-AN-NG-CTSA-005","24","updated signature fields"
"DIR-TEX-AN-NG-CTSA-004 Amendment 4","https://dir1.sharepoint.com/:b:/s/Contracts/EXfnRZ-vZyxKtBrbLERd_2kBDzB-XnKpUr3Wpwey6FaKiQ","71815","pdf","6/4/2015 9:24:05 PM","DIR-TEX-AN-NG-CTSA-004","26","DIR-TEX-AN-NG-CTSA-004 Amendment 4 - replace with correct version on the web"
"DIR-TEX-AN-NG-CTSA-004 Amendment 3","https://dir1.sharepoint.com/:b:/s/Contracts/EcJlb1CzwW5PrIqt9ZAszmkBFkL549QvYyxTdlew5b68AA","82532","pdf","6/4/2015 9:25:55 PM","DIR-TEX-AN-NG-CTSA-004","24","updated signature page"
"DIR-TEX-AN-NG-CTSA-002 Amendment 2","https://dir1.sharepoint.com/:b:/s/Contracts/EUlvb3fT2hxJrdalkcbii-wBC-A4LkXpvWKUJ1lfjHOSlA","83460","pdf","6/4/2015 11:30:33 PM","DIR-TEX-AN-NG-CTSA-002","22","updated signatures"
"DIR-TEX-AN-NG-CTSA-008 Amendment 2","https://dir1.sharepoint.com/:b:/s/Contracts/EfwTWLRBjU5OlZStiaiZ-0wBnyNrvioIQHGJy6XIMTNbkA","86385","pdf","7/30/2015 5:16:57 PM","DIR-TEX-AN-NG-CTSA-008","25","Amendment 2"
"DIR-TEX-AN-NG-CTSA-002 TEXAN NG RFO DIR-TEX-AN-NG-001","https://dir1.sharepoint.com/:u:/s/Contracts/EcekkLMSTClKgEbxYy1mG_gBqCIwV7T0dPAAZUNkfhjVgQ","19433753","zip","8/18/2015 4:50:26 PM","DIR-TEX-AN-NG-CTSA-002","20","RFO"
"DIR-TEX-AN-NG-CTSA-004 TEXAN NG RFO DIR-TEX-AN-NG-001","https://dir1.sharepoint.com/:u:/s/Contracts/EduUblQ0MkVAtzu0XEolrqkBdruEgpKhQjVYD1XY5LRj9A","19433753","zip","8/18/2015 5:00:10 PM","DIR-TEX-AN-NG-CTSA-004","19","RFO"
"DIR-TEX-AN-NG-CTSA-005 TEXAN NG RFO DIR-TEX-AN-NG-001","https://dir1.sharepoint.com/:u:/s/Contracts/EUdYMLWCmjJMpObVD2plZo4BLyC83sdDMWcAOn3f844YuA","19433753","zip","8/18/2015 5:03:07 PM","DIR-TEX-AN-NG-CTSA-005","19","RFO"
"DIR-TEX-AN-NG-CTSA-008 TEXAN NG RFO DIR-TEX-AN-NG-001","https://dir1.sharepoint.com/:u:/s/Contracts/EWG5kiX0SbRJn6B4xN5xqVABR6sSqDwnr6XC_zDVXC6T-A","19433753","zip","8/18/2015 5:10:35 PM","DIR-TEX-AN-NG-CTSA-008","19","RFO"
